Repository's Location,Branch,Author's GitHub ID,Author's Emails,Author's Display Name,Author's Git Author Name,Ignore Glob List
https://github.com/joellow88/ip.git,master,joellow88,,JOEL..O YU,,
https://github.com/junlee1991/ip.git,master,junlee1991,,JULI..ARJO,,
https://github.com/ShiJiaAo/ip.git,master,ShiJiaAo,,SHI ..IAAO,Shi Jiaao,
https://github.com/hongshenggg/ip.git,master,hongshenggg,,LEE ..HENG,Hong Sheng,
https://github.com/dartyr/ip.git,master,dartyr,,TAY ..RIUS,,
https://github.com/shittake/ip.git,master,shittake,,ERIC..QUAN,,
https://github.com/nerdyboy98/ip.git,master,nerdyboy98,,CHEW..KIAT,,
https://github.com/wpx12011/ip.git,master,wpx12011,,WANG..XUAN,,
https://github.com/JThh/ip.git,master,JThh,,HAN ..TONG,Jiatong Han,
https://github.com/jerome-neo/ip.git,master,jerome-neo,,JERO.. NEO,,
https://github.com/ajjajjajjajj/ip.git,master,ajjajjajjajj,,ANG .. JIE,,
https://github.com/markusyeo/ip.git,master,markusyeo,,MARK..G YU,Markus Yeo,
https://github.com/Skeltons/ip.git,master,Skeltons,,OSKA.. LIN,Oskar Lew,
https://github.com/ezeAng/ip.git,master,ezeAng,,ANG ..KIEL,,
https://github.com/kayyenl/ip.git,master,kayyenl,,LEE .. YEN,,
https://github.com/ARPspoofing/ip.git,master,ARPspoofing,,MUHA..HEER,,
https://github.com/Statspadders/ip.git,master,Statspadders,,TOH .. HAO,,
https://github.com/castryl/ip.git,master,castryl,,LOW .. IAN,,
https://github.com/daitenshionyan/ip.git,master,daitenshionyan,,YONG.. JIE,,
https://github.com/felibunnyy/ip.git,master,felibunnyy,,FELI..N YI,,
https://github.com/inas0ng/ip.git,master,inas0ng,,SONG.. INA,ina,
https://github.com/toh-xinyi/ip.git,master,toh-xinyi,,TOH ..N YI,,
https://github.com/ZhuLeYao/ip.git,master,ZhuLeYao,,ZHU .. YAO,,
https://github.com/UnwilledTangent/ip.git,master,UnwilledTangent,,TIN ..SEAN,,
https://github.com/wesleybldc/ip.git,master,wesleybldc,,WESL..CRUZ,WesleyBLDC,
https://github.com/Nicklelodeon/ip.git,master,Nicklelodeon,,NICH..HONG,Nicholas Cheong,
https://github.com/ginloy/ip.git,master,ginloy,,LEOW..YONG,,
https://github.com/Tohtoroo/ip.git,master,Tohtoroo,,AERO..SHEN,,
https://github.com/zuohui48/ip.git,master,zuohui48,,CHEN.. HUI,,
https://github.com/slackernoob/ip.git,master,slackernoob,,MAX .. JUN,,
https://github.com/elvern18/ip.git,master,elvern18,,TAN ..VERN,,
https://github.com/iapetusbob/ip.git,master,iapetusbob,,YUAN.. HAO,,
https://github.com/sumhungyee/ip.git,master,sumhungyee,,SUM .. YEE,LAPTOP-EG15LSJU\hungy,
https://github.com/BigheartSmallbrain/ip.git,master,BigheartSmallbrain,,ZHAN..QUAN,ZhangYQ,
https://github.com/seriouslia0/ip.git,master,seriouslia0,,TAN ..NEDA,,
https://github.com/JrmCkh/ip.git,master,JrmCkh,,CHIA..REMY,,
https://github.com/pzaiming/ip.git,master,pzaiming,,PAN ..MING,,
https://github.com/SHni99/ip.git,master,SHni99,,NI S..GHAN,davidni,
https://github.com/dsja612/ip.git,master,dsja612,,DYLA..E AN,,
https://github.com/Mehvin/ip.git,master,Mehvin,,ONG ..LVIN,,
https://github.com/amoonguss1/ip.git,master,amoonguss1,,ADRI..NWEI,DESKTOP-401ETA8\USER,
https://github.com/ChinJunAn/ip.git,master,ChinJunAn,,CHIN..N AN,,
https://github.com/shazxrin/ip.git,master,shazxrin,,MUHA..FFIE,shazrin,
https://github.com/jedidiahC/ip.git,master,jedidiahC,,CHEN..DIAH,Jedidiah Cheng,
https://github.com/anthonynmh/ip.git,master,anthonynmh,,ANTH..HONG,,
https://github.com/weekiat-douze/ip.git,master,weekiat-douze,,LUM ..KIAT,,
https://github.com/c0j0s/ip.git,master,c0j0s,,CHEN..HENG,,
https://github.com/SPWwj/ip.git,master,SPWwj,,WEI .. JIE,,
https://github.com/9fc70c892/ip.git,master,9fc70c892,,LIM ..DWIN,,
https://github.com/Guo-KeCheng/ip.git,master,Guo-KeCheng,,GUO ..HENG,,
https://github.com/Acerizm/ip.git,master,Acerizm,,HAIQ..AFFI,,
https://github.com/astraxq/ip.git,master,astraxq,,QUEK..RIAN,Brian Quek,
https://github.com/RyanQiu1/ip.git,master,RyanQiu1,,RYAN..XUAN,,
https://github.com/francisyzy/ip.git,master,francisyzy,,FRAN.. YIK,,
https://github.com/evanpy/ip.git,master,evanpy,,LEE .. JUN,,
https://github.com/Irminrics/ip.git,master,Irminrics,,ANG ..KANG,,
https://github.com/hingen/ip.git,master,hingen,,HING..DICT,,
https://github.com/benedict733/ip.git,master,benedict733,,BENE..MING,,
https://github.com/pkpaing/ip.git,master,pkpaing,,PHON..QMAN,,
https://github.com/axmszr/ip.git,master,axmszr,,SAMU..GASU,,
https://github.com/lennoxtr/ip.git,master,lennoxtr,,TRAN..HANG,,
https://github.com/valerietanhx/ip.git,master,valerietanhx,,TAN ..ERIE,Valerie Tan,
https://github.com/jjiayyingtt/ip.git,master,jjiayyingtt,,TAY ..YING,,
https://github.com/weilin1202/ip.git,master,weilin1202,,LIN ..ILIN,,
https://github.com/cyiting/ip.git,master,cyiting,,CHU ..TING,Chu Yi Ting,
https://github.com/shaowi/ip.git,master,shaowi,,LEE .. WEE,Lee ShaoWee;leeshaowee,
https://github.com/joytqt-1202/ip.git,master,joytqt-1202,,JOY ..TONG,,
https://github.com/kimberlybp/ip.git,master,kimberlybp,,KIMB..ARES,,
https://github.com/Gibson0918/ip.git,master,Gibson0918,,GIBS..YANG,,
https://github.com/CarrieLi1015/ip.git,master,CarrieLi1015,,LI Y..XUAN,,
https://github.com/lhy-hoyin/ip.git,master,lhy-hoyin,,LO H.. YIN,,
https://github.com/venuslimm/ip.git,master,venuslimm,,LIM ..ENUS,,
https://github.com/joshua-tyh/ip.git,master,joshua-tyh,,TAN ..SHUA,Tan Yan-Hao Joshua,
https://github.com/QQH0828/ip.git,master,QQH0828,,QIU ..NHUI,,
https://github.com/dohaduong/ip.git,master,dohaduong,,DO H..UONG,,
https://github.com/gwynethguo/ip.git,master,gwynethguo,,GWYN..LING,,
https://github.com/Enigmatrix/ip.git,master,Enigmatrix,,CHAN..KASH,Chandrasekaran Akash,
https://github.com/Nafeij/ip.git,master,Nafeij,,WANG..EFAN,Wang Jiefan,
https://github.com/winsonheng/ip.git,master,winsonheng,,WINS..HENG,,
https://github.com/TamKengHong/ip.git,master,TamKengHong,,TAM ..HONG,,
https://github.com/hansstanley/ip.git,master,hansstanley,,HAN ..NLEY,,
https://github.com/Johnchiahk/ip.git,master,Johnchiahk,,JOHN.. KIT,,
https://github.com/jmestxr/ip.git,master,jmestxr,,TAN ..AMES,,
https://github.com/gyulong1/ip.git,master,gyulong1,,GUO ..LONG,,
https://github.com/LiuMC-SG/ip.git,master,LiuMC-SG,,LIU ..CHEN,Liu Muchen,
https://github.com/jefrai/ip.git,master,jefrai,,JEFF..HEAN,,
https://github.com/BoAi01/ip.git,master,BoAi01,,AI B..I BO,Ai Bo,
https://github.com/harin0826/ip.git,master,harin0826,,NAM ..ARIN,DESKTOP-R4TTM5F\oPandaCAT,
https://github.com/Sheemo/ip.git,master,Sheemo,,SZE ..HONG,,
https://github.com/pkwangjoo/ip.git,master,pkwangjoo,,PARK.. JOO,kwangjoo,
https://github.com/jugheadjones10/ip.git,master,jugheadjones10,,KIM .. JIN,Kim Young Jin,
https://github.com/shuimeihe/ip.git,master,shuimeihe,,HE S..IMEI,,
https://github.com/DerrickSaltFish/ip.git,master,DerrickSaltFish,,OU C..UHAO,,
https://github.com/jinbesan/ip.git,master,jinbesan,,SHI ..HONG,,
https://github.com/jeremykhoo-NUS/ip.git,master,jeremykhoo-NUS,,JERE..MING,,
https://github.com/cydtseng/ip.git,master,cydtseng,,TSEN..N YU,,
https://github.com/sachindavid96/ip.git,master,sachindavid96,,KALI..AVID,,
https://github.com/verydaftpunk/ip.git,master,verydaftpunk,,YANG..RREN,Warren Yang,
https://github.com/bipbipboopboop/ip.git,master,bipbipboopboop,,ETHA..HUEN,,
https://github.com/alextang809/ip.git,master,alextang809,,TANG..CHUN,,
https://github.com/tariq-droid/ip.git,master,tariq-droid,,BAHA..ED S,TariqDroid,
https://github.com/jereldlimjy/ip.git,master,jereldlimjy,,JERE.. YOU,,
https://github.com/AngJunYang/ip.git,master,AngJunYang,,ANG ..YANG,,
https://github.com/Jxleejiaxin/ip.git,master,Jxleejiaxin,,LEE .. XIN,DESKTOP-4FAGDBQ\Lee Jia Xin,
https://github.com/vigonometry/ip.git,master,vigonometry,,VIGN..ARAN,Vigneshwar Hariharan,
https://github.com/jerrrren/ip.git,master,jerrrren,,CHEE..R EN,,
https://github.com/euph00/ip.git,master,euph00,,LIN ..HIEH,LIN_CHIEH,
https://github.com/rexcyrio/ip.git,master,rexcyrio,,LEE ..EFAN,,
https://github.com/wengkit1/ip.git,master,wengkit1,,SOO .. KIT,soowengkit,
https://github.com/dillongoh/ip.git,master,dillongoh,,DILL.. WEE,,
https://github.com/gohyongjing/ip.git,master,gohyongjing,,GOH ..JING,,
https://github.com/cyli133/ip.git,master,cyli133,,LI C..GYUE,,
https://github.com/nigelteosw/ip.git,master,nigelteosw,,TEO ..IGEL,Nigel Teo,
https://github.com/kyueran/ip.git,master,kyueran,,KANG.. RAN,Kang Yue Ran,
https://github.com/roultitude/ip.git,master,roultitude,,TROY..OYU),,
https://github.com/gekhro/ip.git,master,gekhro,,JETH..YANG,,
https://github.com/anunayajoshi/ip.git,master,anunayajoshi,,ANUN..OSHI,,
https://github.com/nramapurath/ip.git,master,nramapurath,,NAVA..RATH,,
https://github.com/bokuanT/ip.git,master,bokuanT,,TANG..KUAN,,
https://github.com/adam07018/ip.git,master,adam07018,,LU C..ENYU,Lu Chenyu,
https://github.com/TabrizPlv/ip.git,master,TabrizPlv,,TABR..LAVI,,
https://github.com/securespider/ip.git,master,securespider,,PANG..CENT,,
https://github.com/jishnu28/ip.git,master,jishnu28,,THAN..ANDH,,
https://github.com/4ndrelim/ip.git,master,4ndrelim,,ANDR..IKAI,,
https://github.com/MingHowLogic/ip.git,master,MingHowLogic,,CHAI.. HOW,,
https://github.com/russelltankaimin/ip.git,master,russelltankaimin,,TAN ..SELL,Tan Kai Min Russell,
https://github.com/leonpoh/ip.git,master,leonpoh,,LEON..HENG,,
https://github.com/afiqzu/ip.git,master,afiqzu,,AFIQ..AHRI,afiq,
https://github.com/kennycjy/ip.git,master,kennycjy,,CHON..ENNY,,
https://github.com/BagDownB3nny/ip.git,master,BagDownB3nny,,DARR.. SIM,Darren Sim,
https://github.com/bojie3/ip.git,master,bojie3,,XU B..OJIE,,
https://github.com/huangzz125/ip.git,master,huangzz125,,HUAN..ZHOU,Huang Zhizhou,
https://github.com/ZHTang29/ip.git,master,ZHTang29,,TANG.. HAO,,
https://github.com/jiexuanc/ip.git,master,jiexuanc,,CHAI..XUAN,Jiexuan,
https://github.com/pzhengze/ip.git,master,pzhengze,,PHUA..G ZE,,
https://github.com/anchengyang/ip.git,master,anchengyang,,AN C..YANG,,
https://github.com/minosx31/ip.git,master,minosx31,,NEO .. HAO,,
https://github.com/Jun-How/ip.git,master,Jun-How,,GOH .. HOW,,
https://github.com/Huggenguggen/ip.git,master,Huggenguggen,,LEE ..HENG,Yu Heng Lee,
https://github.com/nicleejy/ip.git,master,nicleejy,,NICH..N YI,,
https://github.com/Douglch/ip.git,master,Douglch,,CHOW..GLAS,douglch,
https://github.com/Jarrett0203/ip.git,master,Jarrett0203,,TEO ..RETT,,
https://github.com/Bentimate/ip.git,master,Bentimate,,BENN.. JIE,,
https://github.com/XylusChen/ip.git,master,XylusChen,,CHEN..YANG,,
https://github.com/tituswe/ip.git,master,tituswe,,TITU.. WEI,,
https://github.com/alson001/ip.git,master,alson001,,ALSO.. JIE,,
https://github.com/immanuelhume/ip.git,master,immanuelhume,,LI J..UNYI,junyi,
https://github.com/jweeyh/ip.git,master,jweeyh,,WEE ..THAN,,
https://github.com/owen-yap/ip.git,master,owen-yap,,OWEN..UHAN,,
https://github.com/nevinlim/ip.git,master,nevinlim,,NEVI..XUAN,Nevin,
https://github.com/TimothyLawSongEn/ip.git,master,TimothyLawSongEn,,LAW ..OTHY,,
https://github.com/ryanchua00/ip.git,master,ryanchua00,,RYAN..JIAN,,
https://github.com/Zxun2/ip.git,master,Zxun2,,LEE .. XUN,Zong Xun,
https://github.com/Wong-Jia-Jun/ip.git,master,Wong-Jia-Jun,,WONG.. JUN,,
https://github.com/wz2k/ip.git,master,wz2k,,TAN .. ZHE,,
https://github.com/ChangGittyHub/ip.git,master,ChangGittyHub,,DARR..IANG,Darren Chang,
https://github.com/JamesLiuZX/ip.git,master,JamesLiuZX,,LIU ..IXIN,,
https://github.com/zhengsterz/ip.git,master,zhengsterz,,LIM ..HENG,XuanZheng,
https://github.com/Creationsv2/ip.git,master,Creationsv2,,JONA..KIAT,,
https://github.com/KS2499/ip.git,master,KS2499,,KANN..RAAN,Saraan;Saraan Kannusami,
https://github.com/JavonTeo/ip.git,master,JavonTeo,,JAVO.. KAI,,
https://github.com/junianob/ip.git,master,junianob,,BRYA..IANO,Bryan Juniano,
https://github.com/jugsliao/ip.git,master,jugsliao,,LIAO..QUES,jacques,
https://github.com/filbertphang/ip.git,master,filbertphang,,FILB.. SAN,filbert,
https://github.com/Cheamybunny/ip.git,master,Cheamybunny,,CHEA.. WEI,,
https://github.com/eugenetangkj/ip.git,master,eugenetangkj,,EUGE..GJIE,,
https://github.com/swx0/ip.git,master,swx0,,SEE .. XUN,,
https://github.com/noahxinjie/ip.git,master,noahxinjie,,CAI ..NOAH,,
https://github.com/Varstak/ip.git,master,Varstak,,ALEX..OBIN,,
https://github.com/WillCWX/ip.git,master,WillCWX,,WILL..XUAN,,
https://github.com/edures888/ip.git,master,edures888,,DU J..AHUA,,
https://github.com/lywich/ip.git,master,lywich,,ONG ..YANG,,
https://github.com/zxisatree/ip.git,master,zxisatree,,CHIA..XUAN,,
https://github.com/mayuanxin1234/ip.git,master,mayuanxin1234,,MA Y..NXIN,,
https://github.com/Diatbbin/ip.git,master,Diatbbin,,LIM ..BBIN,Lim Diat Bbin,
https://github.com/abenx162/ip.git,master,abenx162,,ANG ..XUAN,,
https://github.com/LeonardYam/ip.git,master,LeonardYam,,YAM ..NARD,Leonard Yam,
https://github.com/benjamin-wee/ip.git,master,benjamin-wee,,BENJ..N EN,,
https://github.com/linustws/ip.git,master,linustws,,TAN ..INUS,,
https://github.com/GlennOngJunJie/ip.git,master,GlennOngJunJie,,GLEN..NJIE,,
https://github.com/jeraldkiew/ip.git,master,jeraldkiew,,KIEW..RALD,,
https://github.com/pangrwa/ip.git,master,pangrwa,,PANG.. WEI,Pang Rui Wei,
https://github.com/nt-nic/ip.git,master,nt-nic,,NICH..NKAI,Nicholas Tan,
https://github.com/KevinEyo1/ip.git,master,KevinEyo1,,EYO ..EVIN,,
https://github.com/kohkaixun/ip.git,master,kohkaixun,,KOH .. XUN,,
https://github.com/arkarsg/ip.git,master,arkarsg,,ARKA..AUNG,,
https://github.com/lukkesreysandeur/ip.git,master,lukkesreysandeur,,LUCA..TECK,,
https://github.com/runoutofit/ip.git,master,runoutofit,,CHUA..HONG,,
https://github.com/clydelhui/ip.git,master,clydelhui,,LHUI..LYDE,,
https://github.com/FredericChow00/ip.git,master,FredericChow00,,FRED.. HUI,,
https://github.com/NappySprout/ip.git,master,NappySprout,,DARI.. ZHI,,
https://github.com/DerenC/ip.git,master,DerenC,,CHEN..EREN,,
https://github.com/Junyi00/ip.git,master,Junyi00,,GOH ..N YI,Goh Jun Yi,
https://github.com/StanleyNeoh/ip.git,master,StanleyNeoh,,STAN.. JUN,,
https://github.com/clevon-w/ip.git,master,clevon-w,,CLEV..YONG,,
https://github.com/Merrickneo/ip.git,master,Merrickneo,,MERR.. JIE,Merrick,
https://github.com/Bransonlj/ip.git,master,Bransonlj,,BRAN.. TAO,,
https://github.com/sanjevi13/ip.git,master,sanjevi13,,SANJ..RAVI,,
https://github.com/Dangabit/ip.git,master,Dangabit,,GOH ..ERIC,,
https://github.com/YZmunchmunch/ip.git,master,YZmunchmunch,,ANG ..YUZE,Ang;Ang Yuze,
https://github.com/glyfy/ip.git,master,glyfy,,GLEN.. LIM,GlenLim,
https://github.com/ongweijie7/ip.git,master,ongweijie7,,ONG .. JIE,,
https://github.com/zenithyap/ip.git,master,zenithyap,,YAP ..NITH,Zenith,
https://github.com/chunzkok/ip.git,master,chunzkok,,KOK .. ZHI,,
https://github.com/mynameizzhafeez/ip.git,master,mynameizzhafeez,,IZZ ..ZLEY,Hafeez,
https://github.com/ruiyigan/ip.git,master,ruiyigan,,GAN ..I YI,,
https://github.com/JunHao247/ip.git,master,JunHao247,,LIM .. HAO,,
https://github.com/kennethk-1201/ip.git,master,kennethk-1201,,KIAN..NETH,,
https://github.com/gitsac/ip.git,master,gitsac,,ISAA.. JIE,,
https://github.com/dfordarius/ip.git,master,dfordarius,,DARI.. WEE,,
https://github.com/thennant/ip.git,master,thennant,,THEN..RONG,LAPTOP-DOG86KJ2\pinoc,
https://github.com/MrTwit99/ip.git,master,MrTwit99,,YEO .. JUE,,
https://github.com/WeideTeo/ip.git,master,WeideTeo,,TEO ..I DE,,
https://github.com/jundatan/ip.git,master,jundatan,,TAN ..N DA,Tan Jun Da,
https://github.com/lyndonlim27/ip.git,master,lyndonlim27,,LYND.. HNG,,
https://github.com/ShawnYip-Au/ip.git,master,ShawnYip-Au,,YIP-..HAWN,“ShawnYip-Au”,
